sampleIndex,timestamp,HR0,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HR31,HR32,HR33,HR34,HR35,HR36,HR37,HR38,HR39,HR40,HR41,HR42,HR43,HR44,HR45,HR46,HR47,HR48,HR49,HR50,HR51,HR52,HR53,HR54,HR55,HR56,HR57,HR58,HR59
41,2026-04-08T09:38:12.281270,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
42,2026-04-08T09:38:12.905538,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
43,2026-04-08T09:38:13.516647,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
44,2026-04-08T09:38:14.211376,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
45,2026-04-08T09:38:14.808415,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
46,2026-04-08T09:38:15.417111,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
47,2026-04-08T09:38:16.016933,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
48,2026-04-08T09:38:16.613254,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
49,2026-04-08T09:38:17.239942,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
50,2026-04-08T09:38:17.837759,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
